zone_id,pixel_count,area_m2,area_ha
1002,1,400,0.04
1003,8,3200,0.32
1004,1,400,0.04
1005,1,400,0.04
1006,3,1200,0.12
1007,1,400,0.04
1008,1,400,0.04
1009,5,2000,0.2
1010,2,800,0.08
1011,1,400,0.04
1012,1,400,0.04
1013,1,400,0.04
1014,2,800,0.08
1015,1,400,0.04
1016,2,800,0.08
1017,4,1600,0.16
1018,8,3200,0.32
1019,2,800,0.08
1020,2,800,0.08
1021,1,400,0.04
1022,2,800,0.08
1023,1,400,0.04
1024,2,800,0.08
1025,5,2000,0.2
1026,1,400,0.04
1027,2,800,0.08
1028,1,400,0.04
1029,2,800,0.08
1030,4,1600,0.16
1031,1,400,0.04
1032,2,800,0.08
1033,1,400,0.04
1034,1,400,0.04
1035,1,400,0.04
1036,1,400,0.04
1037,1,400,0.04
1038,1,400,0.04
1039,1,400,0.04
1040,2,800,0.08
1041,3,1200,0.12
1042,1,400,0.04
1043,6,2400,0.24
1044,1,400,0.04
1045,1,400,0.04
1046,1,400,0.04
1047,2,800,0.08
1048,2,800,0.08
1049,1,400,0.04
1050,1,400,0.04
1051,2,800,0.08
1052,1,400,0.04
1053,1,400,0.04
1054,1,400,0.04
1055,4,1600,0.16
1056,1,400,0.04
1057,3,1200,0.12
1058,6,2400,0.24
1059,1,400,0.04
1060,1,400,0.04
1061,2,800,0.08
1062,1,400,0.04
1063,4,1600,0.16
1064,1,400,0.04
1065,1,400,0.04
1066,4,1600,0.16
1067,1,400,0.04
1068,1,400,0.04
1069,2,800,0.08
1070,6,2400,0.24
1071,2,800,0.08
1072,2,800,0.08
1073,6,2400,0.24
1074,1,400,0.04
1075,1,400,0.04
1076,3,1200,0.12
1077,2,800,0.08
1078,3,1200,0.12
1079,1,400,0.04
1080,3,1200,0.12
1081,1,400,0.04
1082,2,800,0.08
1083,2,800,0.08
1084,1,400,0.04
1085,1,400,0.04
1086,2,800,0.08
1087,1,400,0.04
1088,2,800,0.08
1089,1,400,0.04
1090,1,400,0.04
1091,1,400,0.04
1092,5,2000,0.2
1093,1,400,0.04
1094,5,2000,0.2
1095,4,1600,0.16
1096,2,800,0.08
1097,3,1200,0.12
1098,2,800,0.08
1099,1,400,0.04
1100,1,400,0.04
1101,1,400,0.04
1102,1,400,0.04
1103,2,800,0.08
1104,1,400,0.04
1105,1,400,0.04
1106,1,400,0.04
1107,2,800,0.08
1108,1,400,0.04
1109,2,800,0.08
1110,1,400,0.04
1111,3,1200,0.12
1112,1,400,0.04
1113,10,4000,0.4
1114,1,400,0.04
1115,1,400,0.04
1116,1,400,0.04
1117,2,800,0.08
1118,1,400,0.04
1119,1,400,0.04
1120,2,800,0.08
1121,4,1600,0.16
1122,1,400,0.04
1123,1,400,0.04
1124,1,400,0.04
1125,1,400,0.04
1126,1,400,0.04
1127,1,400,0.04
1128,2,800,0.08
