scenario;zone_id;pixel_count;area_m2;area_ha;input_file;salinity_min;salinity_max;salinity_mean;salinity_median;depth_min;depth_max;depth_mean;depth_median;temperature_min;temperature_max;temperature_mean;temperature_median;sedimentation_min;sedimentation_max;sedimentation_mean;sedimentation_median
check4factor;64;57;22800;2.28;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.465;7.418;6.45;6.396;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;65;102;40800;4.08;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.795;7.509;6.629;6.591;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;66;74;29600;2.96;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.988;7.749;6.887;6.943;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;67;57;22800;2.28;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.091;7.002;6.04;6.148;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;68;100;40000;4.0;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.232;6.971;6.106;6.124;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;69;80;32000;3.2;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.104;7.136;6.568;6.549;29.073;29.073;29.073;29.073;6.051;8.117;6.438;6.051
check4factor;70;309;123600;12.36;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;5.058;7.943;6.291;6.328;29.073;29.073;29.073;29.073;8.117;8.117;8.117;8.117
check4factor;71;69;27600;2.76;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.043;7.594;6.708;6.666;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;72;598;239200;23.92;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;4.954;7.064;5.978;5.99;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
check4factor;73;54;21600;2.16;factor_suitability_2025_Depth_10m_2025_highest.tif;32.866;32.866;32.866;32.866;6.019;7.285;6.66;6.614;29.073;29.073;29.073;29.073;6.051;6.051;6.051;6.051
